prob_thr,strategy,model,base_sensitivity,best_q_thr,val_sensitivity,val_specificity,val_FP_reduction_pct,sensitivity,specificity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.04,Single,LR,0.9625,0.69,0.8019,0.7072,48.04,0.8491,0.7207,50.14,709,1462,126,3772,0.7924,0.1818
0.04,Single,MLP,0.9625,0.89,0.8046,0.6843,43.97,0.9653,0.4891,8.8,806,2674,29,2560,0.7896,0.2285
0.04,Single,XGB,0.9625,0.88,0.8019,0.7248,51.16,0.8419,0.7318,52.11,703,1404,132,3830,0.8004,0.1319
0.05,Baseline,-,0.9438,-,0.9438,0.4913,0.0,0.9653,0.4958,0.0,806,2639,29,2595,-,-
0.05,Single,LR,0.9438,0.7,0.8019,0.7068,42.37,0.8479,0.7222,44.9,708,1454,127,3780,0.7804,0.187
0.05,Single,MLP,0.9438,0.63,0.8153,0.6701,35.15,0.8311,0.7111,42.71,694,1512,141,3722,0.7645,0.1941
0.05,Single,XGB,0.9438,0.88,0.8005,0.723,45.55,0.8515,0.7293,46.31,711,1417,124,3817,0.787,0.1415
0.06,Baseline,-,0.921,-,0.921,0.5354,0.0,0.9521,0.5422,0.0,795,2396,40,2838,-,-
0.06,Single,LR,0.921,0.72,0.8112,0.697,34.78,0.8539,0.7119,37.06,713,1508,122,3726,0.7708,0.1911
0.06,Single,MLP,0.921,0.56,0.8046,0.6906,33.42,0.8946,0.6559,24.83,747,1801,88,3433,0.7512,0.2588
0.06,Single,XGB,0.921,0.89,0.8126,0.7013,35.71,0.8659,0.7155,37.85,723,1489,112,3745,0.7778,0.149
0.07,Baseline,-,0.905,-,0.905,0.5749,0.0,0.9305,0.5793,0.0,777,2202,58,3032,-,-
0.07,Single,LR,0.905,0.74,0.8153,0.694,28.02,0.8575,0.7073,30.43,716,1532,119,3702,0.7673,0.1931
0.07,Single,MLP,0.905,0.6,0.8005,0.7058,30.81,0.9234,0.6045,5.99,771,2070,64,3164,0.7455,0.3372
